candles,code,message,s
"[1735875900, 24196.4, 24196.45, 24138.7, 24175.55, 0]",200,,ok
"[1735876200, 24176.05, 24179.3, 24153.9, 24155.85, 0]",200,,ok
"[1735876500, 24153.05, 24153.05, 24126.8, 24133.3, 0]",200,,ok
"[1735876800, 24132.15, 24141.95, 24096.95, 24105.2, 0]",200,,ok
"[1735877100, 24101.5, 24110.75, 24091.4, 24099.9, 0]",200,,ok
"[1735877400, 24100.35, 24128, 24080.3, 24083.4, 0]",200,,ok
"[1735877700, 24081.65, 24101, 24070.05, 24076.25, 0]",200,,ok
"[1735878000, 24076.95, 24085.6, 24059.9, 24072.75, 0]",200,,ok
"[1735878300, 24071.8, 24077.35, 24051.5, 24058.15, 0]",200,,ok
"[1735878600, 24057.9, 24109.3, 24052.9, 24101.75, 0]",200,,ok
"[1735878900, 24100.75, 24111.35, 24059.15, 24063.1, 0]",200,,ok
"[1735879200, 24062.45, 24070.5, 24032.15, 24042.2, 0]",200,,ok
"[1735879500, 24042.45, 24066.95, 24037, 24054.2, 0]",200,,ok
"[1735879800, 24054.3, 24075.7, 24053.8, 24066.95, 0]",200,,ok
"[1735880100, 24066.8, 24068.85, 24042.45, 24047, 0]",200,,ok
"[1735880400, 24046.55, 24047.95, 24021.1, 24024.7, 0]",200,,ok
"[1735880700, 24023.95, 24029.7, 24009.3, 24010.2, 0]",200,,ok
"[1735881000, 24011.85, 24028.85, 24006.75, 24027.2, 0]",200,,ok
"[1735881300, 24027.55, 24035.85, 24013.35, 24035.45, 0]",200,,ok
"[1735881600, 24033.85, 24035.25, 24003.05, 24006.35, 0]",200,,ok
"[1735881900, 24007.6, 24018.05, 24000.25, 24011.6, 0]",200,,ok
"[1735882200, 24010.4, 24025.15, 24008, 24018.15, 0]",200,,ok
"[1735882500, 24018.8, 24053.65, 24017.55, 24038.05, 0]",200,,ok
"[1735882800, 24037.85, 24061.6, 24029.7, 24057.7, 0]",200,,ok
"[1735883100, 24057.6, 24079.15, 24051.45, 24076.15, 0]",200,,ok
"[1735883400, 24076, 24136.9, 24074.15, 24132.55, 0]",200,,ok
"[1735883700, 24133, 24149.9, 24106.1, 24113.2, 0]",200,,ok
"[1735884000, 24113.3, 24123.9, 24090.75, 24100.15, 0]",200,,ok
"[1735884300, 24100.85, 24130.45, 24099.5, 24110.8, 0]",200,,ok
"[1735884600, 24113.2, 24132.25, 24109, 24128.15, 0]",200,,ok
"[1735884900, 24128.8, 24130.1, 24107.55, 24119.95, 0]",200,,ok
"[1735885200, 24118.8, 24128.85, 24107.7, 24125.45, 0]",200,,ok
"[1735885500, 24125.6, 24137.55, 24116.9, 24135.45, 0]",200,,ok
"[1735885800, 24135.8, 24139.95, 24127.25, 24133.25, 0]",200,,ok
"[1735886100, 24133.15, 24133.7, 24093.65, 24096.8, 0]",200,,ok
"[1735886400, 24096.05, 24117.9, 24093.8, 24114.4, 0]",200,,ok
